oldname,species,island,site.lot,oldID,FinalNames,scannedby
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 1.jpeg,CEPblombergi - 8X1105(37-48) copy 1.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 10.jpeg,CEPblombergi - 8X1105(37-48) copy 10.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 11.jpeg,CEPblombergi - 8X1105(37-48) copy 11.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 12.jpeg,CEPblombergi - 8X1105(37-48) copy 12.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 13.jpeg,CEPblombergi - 8X1105(37-48) copy 13.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 14.jpeg,CEPblombergi - 8X1105(37-48) copy 14.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 15.jpeg,CEPblombergi - 8X1105(37-48) copy 15.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 16.jpeg,CEPblombergi - 8X1105(37-48) copy 16.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 17.jpeg,CEPblombergi - 8X1105(37-48) copy 17.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 19.jpeg,CEPblombergi - 8X1105(37-48) copy 19.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 2.jpeg,CEPblombergi - 8X1105(37-48) copy 2.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 20.jpeg,CEPblombergi - 8X1105(37-48) copy 20.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 3.jpeg,CEPblombergi - 8X1105(37-48) copy 3.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 4.jpeg,CEPblombergi - 8X1105(37-48) copy 4.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 5.jpeg,CEPblombergi - 8X1105(37-48) copy 5.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 6.jpeg,CEPblombergi - 8X1105(37-48) copy 6.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 7.jpeg,CEPblombergi - 8X1105(37-48) copy 7.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 8.jpeg,CEPblombergi - 8X1105(37-48) copy 8.jpeg,CEP
blombergi,blombergi,SC,MCZ 278884,CEPblombergi@@@8X1105(37-48) copy 9.jpeg,CEPblombergi - 8X1105(37-48) copy 9.jpeg,CEP
darwini,darwini,SA,SA02-02,CEPdarwini@@@31.111.04 copy 1.jpeg,CEPdarwini - 31.111.04 copy 1.jpeg,CEP
darwini,darwini,SA,SA02-02,CEPdarwini@@@31.111.04 copy 10.jpeg,CEPdarwini - 31.111.04 copy 10.jpeg,CEP
darwini,darwini,SA,SA02-02,CEPdarwini@@@31.111.04 copy 11.jpeg,CEPdarwini - 31.111.04 copy 11.jpeg,CEP
darwini,darwini,SA,SA02-02,CEPdarwini@@@31.111.04 copy 12.jpeg,CEPdarwini - 31.111.04 copy 12.jpeg,CEP
darwini,darwini,SA,SA02-02,CEPdarwini@@@31.111.04 copy 13.jpeg,CEPdarwini - 31.111.04 copy 13.jpeg,CEP
darwini,darwini,SA,SA02-02,CEPdarwini@@@31.111.04 copy 14.jpeg,CEPdarwini - 31.111.04 copy 14.jpeg,CEP
darwini,darwini,SA,SA02-02,CEPdarwini@@@31.111.04 copy 15.jpeg,CEPdarwini - 31.111.04 copy 15.jpeg,CEP
darwini,darwini,SA,SA02-02,CEPdarwini@@@31.111.04 copy 16.jpeg,CEPdarwini - 31.111.04 copy 16.jpeg,CEP
darwini,darwini,SA,SA02-02,CEPdarwini@@@31.111.04 copy 17.jpeg,CEPdarwini - 31.111.04 copy 17.jpeg,CEP
darwini,darwini,SA,SA02-02,CEPdarwini@@@31.111.04 copy 18.jpeg,CEPdarwini - 31.111.04 copy 18.jpeg,CEP
darwini,darwini,SA,SA02-02,CEPdarwini@@@31.111.04 copy 19.jpeg,CEPdarwini - 31.111.04 copy 19.jpeg,CEP
darwini,darwini,SA,SA02-02,CEPdarwini@@@31.111.04 copy 2.jpeg,CEPdarwini - 31.111.04 copy 2.jpeg,CEP
darwini,darwini,SA,SA02-02,CEPdarwini@@@31.111.04 copy 20.jpeg,CEPdarwini - 31.111.04 copy 20.jpeg,CEP
darwini,darwini,SA,SA02-02,CEPdarwini@@@31.111.04 copy 3.jpeg,CEPdarwini - 31.111.04 copy 3.jpeg,CEP
darwini,darwini,SA,SA02-02,CEPdarwini@@@31.111.04 copy 4.jpeg,CEPdarwini - 31.111.04 copy 4.jpeg,CEP
darwini,darwini,SA,SA02-02,CEPdarwini@@@31.111.04 copy 5.jpeg,CEPdarwini - 31.111.04 copy 5.jpeg,CEP
darwini,darwini,SA,SA02-02,CEPdarwini@@@31.111.04 copy 6.jpeg,CEPdarwini - 31.111.04 copy 6.jpeg,CEP
darwini,darwini,SA,SA02-02,CEPdarwini@@@31.111.04 copy 7.jpeg,CEPdarwini - 31.111.04 copy 7.jpeg,CEP
darwini,darwini,SA,SA02-02,CEPdarwini@@@31.111.04 copy 8.jpeg,CEPdarwini - 31.111.04 copy 8.jpeg,CEP
darwini,darwini,SA,SA02-02,CEPdarwini@@@31.111.04 copy 9.jpeg,CEPdarwini - 31.111.04 copy 9.jpeg,CEP
eos,eos,SC,MCZ 338377,CEPeos@@@8X1105(37-48) copy 21.jpeg,CEPeos - 8X1105(37-48) copy 21.jpeg,CEP
eos,eos,SC,MCZ 338377,CEPeos@@@8X1105(37-48) copy 22.jpeg,CEPeos - 8X1105(37-48) copy 22.jpeg,CEP
eos,eos,SC,MCZ 338377,CEPeos@@@8X1105(37-48) copy 23.jpeg,CEPeos - 8X1105(37-48) copy 23.jpeg,CEP
eos,eos,SC,MCZ 338377,CEPeos@@@8X1105(37-48) copy 24.jpeg,CEPeos - 8X1105(37-48) copy 24.jpeg,CEP
eos,eos,SC,MCZ 338377,CEPeos@@@8X1105(37-48) copy 25.jpeg,CEPeos - 8X1105(37-48) copy 25.jpeg,CEP
eos,eos,SC,MCZ 338377,CEPeos@@@8X1105(37-48) copy 26.jpeg,CEPeos - 8X1105(37-48) copy 26.jpeg,CEP
eos,eos,SC,MCZ 338377,CEPeos@@@8X1105(49-53) copy 1.jpeg,CEPeos - 8X1105(49-53) copy 1.jpeg,CEP
eos,eos,SC,MCZ 338377,CEPeos@@@8X1105(49-53) copy 2.jpeg,CEPeos - 8X1105(49-53) copy 2.jpeg,CEP
eos,eos,SC,MCZ 338378,CEPeos@@@8X1105(49-53) copy 3.jpeg,CEPeos - 8X1105(49-53) copy 3.jpeg,CEP
eos,eos,SC,MCZ 338378,CEPeos@@@8X1105(49-53) copy 4.jpeg,CEPeos - 8X1105(49-53) copy 4.jpeg,CEP
eos,eos,SC,MCZ 338378,CEPeos@@@8X1105(49-53) copy 5.jpeg,CEPeos - 8X1105(49-53) copy 5.jpeg,CEP
eos,eos,SC,MCZ 338378,CEPeos@@@8X1105(49-53) copy 10.jpeg,CEPeos - 8X1105(49-53) copy 10.jpeg,CEP
eos,eos,SC,MCZ 338378,CEPeos@@@8X1105(49-53) copy 11.jpeg,CEPeos - 8X1105(49-53) copy 11.jpeg,CEP
eos,eos,SC,MCZ 338378,CEPeos@@@8X1105(49-53) copy 12.jpeg,CEPeos - 8X1105(49-53) copy 12.jpeg,CEP
eos,eos,SC,MCZ 338378,CEPeos@@@8X1105(49-53) copy 13.jpeg,CEPeos - 8X1105(49-53) copy 13.jpeg,CEP
eos,eos,SC,MCZ 338378,CEPeos@@@8X1105(49-53) copy 14.jpeg,CEPeos - 8X1105(49-53) copy 14.jpeg,CEP
eos,eos,SC,MCZ 338378,CEPeos@@@8X1105(49-53) copy 15.jpeg,CEPeos - 8X1105(49-53) copy 15.jpeg,CEP
eos,eos,SC,MCZ 338378,CEPeos@@@8X1105(49-53) copy 6.jpeg,CEPeos - 8X1105(49-53) copy 6.jpeg,CEP
eos,eos,SC,MCZ 338378,CEPeos@@@8X1105(49-53) copy 7.jpeg,CEPeos - 8X1105(49-53) copy 7.jpeg,CEP
eos,eos,SC,MCZ 338378,CEPeos@@@8X1105(49-53) copy 8.jpeg,CEPeos - 8X1105(49-53) copy 8.jpeg,CEP
